text,category
"Футболка классная! Маловата немного, берите на размер больше! Шла около месяца ",одежда
"Понравилось,чуток в длину великовата (рост 155) цвет крутой, очень модный в этом сезоне.",одежда
"красивый только цвет. фактура тон
кая, хоть и мягкая, и тёплая. фурнитура дешевая: шнурок, бегунок молнии. качество швов  ужасное, на самом видном месте торчат нитки",одежда
"заказала размер s, платье оказалось очень велико, придётся ушивать, материал синтетика, пришло очень быстро за 13 дней",одежда
"Прекрасная туника. Качество на высшем уровне,продавец очень общительный.Идет размер в размер. Я довольна покупкой,советую и товар и этого продавца",одежда
Wery Good,нет товара
"Юбка пришла с задержками но пришла ,очень хорошая,на рост 145 самое то но подтяжки свободно",одежда
видела бы в магазине - не купила бы... качество отстой,нет товара
Слишком тонкие ,нет товара
отличное качество товаров,нет товара
"Просвечивает и короткая, хотя на фото она не такая прозрачная",одежда
"Плохо прошиты швы, в этих местах материал собирается",одежда
"Тёплые, цвет соответствует картинке. По размеру подошли. Всё отлично.",одежда
"заказ шёл ну очень долго, да еще и как нарочно они коротки мне. вцелом осталась не довольна. заказывала М(мой рост 168, об 87) у кого ножки длинные можно L заказать",одежда
"пришла за 23 дня.качество прекрасное.ткань похожа на плотный стрейч, на осень прекрасно. кружево мягкое.",одежда
джинсы пришли с пятнами,одежда
"ткань довольно тонкая, но я брала для косплея, так что норм. размер S на мои 91-66-97 довольно свободно висит, на рост ~170 по длине великовато",одежда
"была маленькая дырочка, и полноразмерная",одежда
"материал плохой, просвечает и одна сентетика",одежда
все супер! доставка месяц) спасибо продавцу)),нет товара
"Очень милая и приятная на ощупь, пришла очень быстро",одежда
"Качество нормальное. Но сильно маломерят. Заказала М, а она в лучшем случае ХS. ",одежда
"Очень милые носочки, качество не плохое",одежда
"мало того, что заказ отправили не туда. так еще и деньги не возвращают",нет товара
"Заказ шел 2 недели. Думала, что качество будет получше, да еще и дырка на штанах. Вообщем не очень понравились.",одежда
не пришли!!! спор ничего не дал! не берите к этого продавца ничего.,нет товара
"Заказывала М на 165 рос 60 кг,  но было мол мерка не влезла. качество отличное",одежда
Самый долгий заказ на Алиэкспресс.,нет товара
платье велико в бедрах. хоть и размер с. быстрая доставка. смотрится не очень. вырез ворота ужасный.,одежда
Трусы не пришли,одежда
"много торчащих ниток,внутри шов на шортах не ровный,и где лиф ажур вообще неровный",одежда
Супер-пупер! Пришло за 17 дней по бесплатной доставке !!! Очень понравилось как смотрится ,нет товара
"это прям ужас, не поняла восторженных отзывов, мне носить не хочется, тряпка! везде нитки, швы никакие.",одежда
"Ткань тонкая, размер L идёт на М ",одежда
"платье не подходит по описанию очень плохо,теперь что делать незнаю!больше не одну вещь тут не закажу,!",одежда
"колготки очень короткие, на пост 162 не подошли совсем! стрелка не очень ровная и толстая. не советую здесь покупать.",одежда
"Качество не очень понравилось, синтетика и тонкая очень. И с размером не угадала- большая мне.",одежда
"товар пришел быстро. но без толку.
 вещь являет собой просто вырезанную тряпочку с одними лишь боковыми швами. ни горловина, ни низ, ни пройма даже не оверложены!
убожество!!!",одежда
"Так ,что то не очень.Одно радует рукова  нормальные.А вот длина убки выше колен,а не до колена.И МНЕ КАЖЕТСЯ, ОНО ПОЛЕНЯЕТ ПОСЛЕ СТИРКИ.",одежда
Прекрасное платье за свою цену! На рост 168 и 44 р-о М-ка села идеально.Длина оказалась до пола.Из минусов - синтетическая ткань юбки при активных танцах начинает электризоваться))),одежда
Качество ужас...,нет товара
"терпеливо ждала 4 месяца, но ничего так и не пришло",нет товара
"на 48 размер,  объем груди 96см., xxxl велико.",одежда
"Заказывала 3 розовые и 2 светло-розовые ,в итоге пришли 5 одинаковых  шапок !!!",одежда
Все хорошо но она просвечиваеться более летний вариант,одежда
"очень хорошая кофта хотя это скорее идёт как туника, заказ пришел быстро, заказала 11.11 получила 30.11",одежда
Пришло с браком,нет товара
"Шло в Москву очень долго, доставка хреновая. Открыла спор, вроде деньги вернули. Но долго продлевали защиту несколько раз. Лучше не продлевайте - нет смысла ждать. Продавец вроде общительный. ",нет товара
"Красивый бордовый цвет, хорошая форма.Даже на моих маленьких параметрах груди смотрится хорошо (79-62-92),достаточно свободна. Доставка- недели две до Мск.Очень довольна!Рекомендую.",одежда
"качество хорошее, швы ровные, приятная ткань, не синтетика",одежда
С размером ошиблась. На российский 50 52 точно меньше надо брать чем 5 xl. Немного мешковато сел. А так вещь понравилась,одежда
товар не пришел. и не отслеживался. деньги не вернули.,нет товара
"Качество отличное ,доставка до Башкирии 3 недели",одежда
"Прекрасные шорты! Отличное качество, сидят хорошо, быстрая доставка. Взяла s сели отлично не маломерят. Спасибо ! ",одежда
"Брюки хорошие, но написано в описании что они теплые, а по факту тонкие не утепленные. Очень разочарована этим обманом. Заказывать у этого продавца больше не буду.",одежда
"Цвет не тот что заказывали , рубашка с браком, швы разошлись и рваная. В остальном все устраивает ",одежда
все подошло . ткань не очень.,одежда
"Платье огромного размера, пошив не фабричный, нет никаких  лейблов, края не обметаны, сама ткань не плохая,тяжёлая, тянется, возможно будут катышки, заказом осталась недовольна, за эти деньги на А
ли можно купить вещь лучше.",одежда
"Всем рекомендую,классный свитер",одежда
Отличная удобная кофточка,одежда
"Х/б носочки,хорошее качество,пришли вовремя,дочь очень довольна.",одежда
"Ожидала другого от этого платья ,материал очень тонкий .Осталась не довольна покупкой .",одежда
Очень маленькая. Размерная таблица не соответствует действительности. На ОГ 86см брала М.,одежда
"Заказываю во второй раз. Качество так же на высоте, размер M подходит на бедра 93 см. Кружево тонкое и швы под одеждой не заметны. Спасибо большое!",одежда
Продавец прислал не тот свитер!! Я очень расстроена!!!,одежда
Плохое качества это платье даже 300 руб не стоит (((,одежда
"Долго ждала посылку. Оказались велики, хоть и выглядят как колготки, но сваливаются при ходьбе ",одежда
Жутко просвечивает. И вверх  и низ. Заказывала розовое. Фатин желтый. Я разочарована. Носить не буду.,одежда
"Товар доставили курьером на дом, костюм хороший, но на рост 170 брюки короткие. Вес 54 кг- размер М подошёл ",одежда
"рисунок на вещи не совпадает, рукава широкие",одежда
"Доставили очень быстро.  Качество отличное, выглядит маленьким, но хорошо тянется, по весу тяжелый, мягкий. На размер 46-48 взяла XL, подошёл. Рукава нормальные, не короткие. Очень теплый свитер.",одежда
"Синтетика сплошная, мало, брала размер L на рост 158, грудь 90, талия 70, бедра 98. Обтянуто как любительскую колбасу. Жаль деньги, буду как то расшивать, но синтетику не очень хочется носить...",одежда
Отлично! ,нет товара
"доставка быстрая, соответствует описанию и картинке. на свой 44 размер брала м. платье короткое, резинка туговатая, но на одно плечо сидит хорошо. оценку снижают за ткань. не приятная, скользкая ...",одежда
заказ шел долго. супер эффекта не нашла. стрелки пошли после первой носки! таких денег не стоят однозначно.,одежда
"Топ короткий. Очень короткий. Почитала отзывы, специально взяла на размер больше, но напрасно. Так что имейте в виду.",одежда
"туника пришла без размерная, рукава короткие с ужасным запахом",одежда
"Не пришли,спор длился недели 2-3..",нет товара
"Платье на фото бежевого цвета, в реальности оно пудрового, почти розового цвета. В принципе, платье бомба. Удовлетворил и размер и материал. Но цвет не то, что на картинке. Печально.",одежда
"Хорошая водолазка, но очень тонкая, меня сильно обтянула! на параметры 93-60  хотелось бы на размер больше!",одежда
"Товар не пришел. Деньги вернули. Но продавец хороший и милый. Просто, может быть, мне не повезло.",нет товара
"Товар так и не пришёл. Вместо блузки прислали резиновых опарышей (!!!) ржали долго) правда продавец обещал отправить другим заказом, но пока глухо. За опарвшей отдельное спасибо.",нет товара
"Трусы не плохие ,но  две шт. из пяти не соответствуют заказанным (замена расцветки на худшию),одни из них большего размера,мне велики ,остальные на о.б. 98 сели хорошо.",одежда
Не по размеру и плохо пошито,одежда
"На мой рост(157см)не подошел,слишком короткие.Сшито очень плохо.Лосины не стоят таких цен",одежда
"До Хабаровского края дошла за месяц, трек отслеживался, качество отличное, очень понравилась, правда электризуется, подошел размер XXL   на рос.50",одежда
"Отличные трусики , буду заказывать еще. На размер 46 брала XL. Доставка быстрая, трек отслеживался.",одежда
Спасибо все подошло,нет товара
наверно хорошие а так не получили,нет товара
качество на троечку,нет товара
Жаль，товар так и не получила.Открыла спор，вернули деньги.Потерялся наверное на просторах нашей страны.,нет товара
"Заказ шел 2 месяца. Размер подошел (мой 46-48 заказала XL). Верхние карманы оказались фальшивыми, непонятно, зачем городить молнию было, тем более она не ровно вшита. Нижние карманы маленькие.",одежда
хорошая теплая кофта. все как в описании,одежда
"Не стоит заплаченных денег((( ткань плохая, полоска чёрная на самом видном месте",одежда
мало( xxxl подошел только на 42 размер(,одежда
Товар не пришёл вернули деньги,нет товара
"Материал как у мед.халата...просвечивает, выглядит дешево. Размер не соответствует. Подклад где-то есть, а где-то нет... торчат нитки...900р это не стоит.  Я разочарована...",одежда
С размером не угадал. А так всё как на картинке. Спасибо продавцу. Рекомендую!,одежда
Не подошёл размер ,одежда
три месяца жду не получила блузку. жалко конечно,одежда
"От кофточки ожидала большего..судя по отзывам. оказалась велика, цвет не соответствует фото. Не очень приятный запах, тут же отправила в стирку.",одежда
продавец отправил товар на другой адрес!! обман,нет товара
"не ахти качество...доставка ужасная , пришлось потратить день , что бы найти ячейку куда бросила курьерская служба CDEK это пальто",одежда
"кофточка хорошенькая,правда на 40_42 надо было на размер меньше брать",одежда
"на рост 163 и 44р брала L.По размеру вроде нормально,но талия высоко,платье очень короткое,особенно полклад.Буду сама переделывать.Так материал мягкий,цвет как заявлен.Доставка быстрая.Платье на очень маленький рост не выше 150",одежда
Размер не соответствует. Заказали 4XL по факту оказался на 50 размер максимум.,одежда
Отличная рубашка. Отличное качество.,одежда
как на картинке!,нет товара
Размер куртки не соответствует вашей линейки размеров,одежда
"Юбка классная,из плотного стрейча,смотрится супер,доставка три недели.",одежда
"Состав 90% Полиамид 10% Эластан, даже ластовица, швы прошиты небольшиии шовчиками и проклеены клеем.",одежда
Платье просто великолепное. Качество супер. Закажу в другом цвете ещё.,одежда
"качество средне..на картинке яркий ,а пришел не яркий цвет рукавов(((",одежда
"Товар не пришел, деньги вернули ",нет товара
"свитер тонкий,но качество хорошее",одежда
материал на фото матовый похож на хлопок а на самом деле блестит и структура резины,одежда
цвет совсем не такой как был заказан,одежда
заказ прислали на другой конец города. зачем продавцу адрес дается???,нет товара
"Ткань хорошая, но модель какая-то несуразная. Спина пошита как мужская рубашка, ни о какой приталиности речи не идет. Наоборот очень широкая, как для горба. Не буду носить.",одежда
Прекрасная блузка. По размеру подошло. Пришла быстро.,одежда
"Юбка не плохая, но очень сильно маломерит.  Брала XL российский ношу L или похудею, или отдам дочке (предварительно ушив)))

Доставка быстрая. Трек отслеживался.",одежда
"Очень классная, мне понравилось, материал мягкий, буду заказывать еще",одежда
Товар пришёл с зелёными пятнами!,одежда
"На 46 размер взяла L , все хорошо, только вот рукав можно было бы длиннее сделать. А так в принципе не плохо.",одежда
хорошая куртка. красивый цвет,одежда
"подошло очень хорошо! у меня 90-76-92, размер М брала, качество неплохое, закажу ещё черный!",одежда
"Really nice love them all with logo and nice sturdy quality,i will buy more.",нет товара
"Очень-очень довольна!!! Отличный пошив и удачная модель! Присутствует запах, но надеюсь выветрится. Спасибо продавцу и удачных продаж!!! Рекомендую!!!",одежда
"Доставка быстрая,но размер не соответствует,XXL не налез даже на 48.Качество хорошее. Жаль,что не подошла.",одежда
"курьер принес домой, все хорошо, но в талии большевато",одежда
"заказ пришёл через 55 дней, ещё и с пятном еле еле отстирали ставлю 2",одежда
"Отличная юбка! Качественный принт, приятная ткань (сильно тянется). Размер подошел (на 48 размер брала XL). Спасибо продавцу. Собираюсь заказывать еще такую, но в другой расцветке ",одежда
Юбка выглядит очень дёшево. Тянется плохо. Ткань как будто дубовая и топорщится некрасиво. Она скорее на размер 42-44,одежда
"Кофта маломерит. На свои параметры по таблице размеров заказала L- оказалась маловата, по факту соответствует M. За это снимаю звезды",одежда
"Кофта не подошла по размеру,качество ткани просто ужасное.",одежда
юбка пришла быстро. на размер 42-44 оказалась узкой резинка.,одежда
"Платье пришло быстро, за 2 недели. Качество хорошее, но цвет не тот, что на фото. На фото он более насыщенный, а пришел бледный.",одежда
"Заказывала 3 шт. Пришли все. Очень понравились. Качество отличное. Цвет как на фото. На рост 164, вес 60 кг, размер 42 заказала М, сели идеально. Доставка 3 недели.",одежда
Товар не пришел. Деньги вернули.,нет товара
"Заказывала 2 шт. Пришли обе. Очень понравились. Качество отличное. Цвет как на фото. На рост 164, вес 60 кг, размер 42 заказала М, сели идеально. Доставка 3 недели.",одежда
"Заказывала 1 шт. Пришла. Очень понравилась. Качество отличное. Цвет как на фото. На рост 164, вес 60 кг, размер 42 заказала М, села идеально. Доставка 3 недели.",одежда
"Костюм пришел быстро, за 2 недели. Качество хорошее, но цвет не тот, что на фото. На фото он более насыщенный, а пришел бледный.",одежда
"Куртка пришла быстро, за 2 недели. Качество хорошее, но цвет не тот, что на фото. На фото он более насыщенный, а пришел бледный.",одежда
"Блузка пришла быстро, за 2 недели. Качество хорошее, но цвет не тот, что на фото. На фото он более насыщенный, а пришел бледный.",одежда
"Платье пришло быстро, за 2 недели. Качество хорошее, но цвет не тот, что на фото. На фото он более насыщенный, а пришел бледный. На рост 164, вес 60 кг, размер 42 заказала М, село идеально.",одежда
"Юбка пришла быстро, за 2 недели. Качество хорошее, но цвет не тот, что на фото. На фото он более насыщенный, а пришел бледный. На рост 164, вес 60 кг, размер 42 заказала М, села идеально.",одежда
"Брюки пришли быстро, за 2 недели. Качество хорошее, но цвет не тот, что на фото. На фото он более насыщенный, а пришли бледные. На рост 164, вес 60 кг, размер 42 заказала М, сели идеально.",одежда
"Свитер пришел быстро, за 2 недели. Качество хорошее, но цвет не тот, что на фото. На фото он более насыщенный, а пришел бледный. На рост 164, вес 60 кг, размер 42 заказала М, сел идеально.",одежда
"Топ пришел быстро, за 2 недели. Качество хорошее, но цвет не тот, что на фото. На фото он более насыщенный, а пришел бледный. На рост 164, вес 60 кг, размер 42 заказала М, сел идеально.",одежда
"Футболка пришла быстро, за 2 недели. Качество хорошее, но цвет не тот, что на фото. На фото он более насыщенный, а пришел бледный. На рост 164, вес 60 кг, размер 42 заказала М, села идеально.",одежда
"Рубашка пришла быстро, за 2 недели. Качество хорошее, но цвет не тот, что на фото. На фото он более насыщенный, а пришел бледный. На рост 164, вес 60 кг, размер 42 заказала М, села идеально.",одежда
"Пиджак пришел быстро, за 2 недели. Качество хорошее, но цвет не тот, что на фото. На фото он более насыщенный, а пришел бледный. На рост 164, вес 60 кг, размер 42 заказала М, сел идеально.",одежда
"Жилет пришел быстро, за 2 недели. Качество хорошее, но цвет не тот, что на фото. На фото он более насыщенный, а пришел бледный. На рост 164, вес 60 кг, размер 42 заказала М, сел идеально.",одежда
"Кардиган пришел быстро, за 2 недели. Качество хорошее, но цвет не тот, что на фото. На фото он более насыщенный, а пришел бледный. На рост 164, вес 60 кг, размер 42 заказала М, сел идеально.",одежда
"Пальто пришло быстро, за 2 недели. Качество хорошее, но цвет не тот, что на фото. На фото он более насыщенный, а пришел бледный. На рост 164, вес 60 кг, размер 42 заказала М, село идеально.",одежда
"Плащ пришел быстро, за 2 недели. Качество хорошее, но цвет не тот, что на фото. На фото он более насыщенный, а пришел бледный. На рост 164, вес 60 кг, размер 42 заказала М, сел идеально.",одежда
"Ветровка пришла быстро, за 2 недели. Качество хорошее, но цвет не тот, что на фото. На фото он более насыщенный, а пришел бледный. На рост 164, вес 60 кг, размер 42 заказала М, села идеально.",одежда
"Пуховик пришел быстро, за 2 недели. Качество хорошее, но цвет не тот, что на фото. На фото он более насыщенный, а пришел бледный. На рост 164, вес 60 кг, размер 42 заказала М, сел идеально.",одежда
"Куртка пришла быстро, за 2 недели. Качество хорошее, но цвет не тот, что на фото. На фото он более насыщенный, а пришел бледный. На рост 164, вес 60 кг, размер 42 заказала М, села идеально.",одежда
"Парка пришла быстро, за 2 недели. Качество хорошее, но цвет не тот, что на фото. На фото он более насыщенный, а пришел бледный. На рост 164, вес 60 кг, размер 42 заказала М, села идеально.",одежда
"Анорак пришел быстро, за 2 недели. Качество хорошее, но цвет не тот, что на фото. На фото он более насыщенный, а пришел бледный. На рост 164, вес 60 кг, размер 42 заказала М, сел идеально.",одежда
"Бомбер пришел быстро, за 2 недели. Качество хорошее, но цвет не тот, что на фото. На фото он более насыщенный, а пришел бледный. На рост 164, вес 60 кг, размер 42 заказала М, сел идеально.",одежда
"Джинсы пришли быстро, за 2 недели. Качество хорошее, но цвет не тот, что на фото. На фото он более насыщенный, а пришли бледные. На рост 164, вес 60 кг, размер 42 заказала М, сели идеально.",одежда
"Шорты пришли быстро, за 2 недели. Качество хорошее, но цвет не тот, что на фото. На фото он более насыщенный, а пришли бледные. На рост 164, вес 60 кг, размер 42 заказала М, сели идеально.",одежда
"Бермуды пришли быстро, за 2 недели. Качество хорошее, но цвет не тот, что на фото. На фото он более насыщенный, а пришли бледные. На рост 164, вес 60 кг, размер 42 заказала М, сели идеально.",одежда
"Юбка-брюки пришли быстро, за 2 недели. Качество хорошее, но цвет не тот, что на фото. На фото он более насыщенный, а пришли бледные. На рост 164, вес 60 кг, размер 42 заказала М, сели идеально.",одежда
"Леггинсы пришли быстро, за 2 недели. Качество хорошее, но цвет не тот, что на фото. На фото он более насыщенный, а пришли бледные. На рост 164, вес 60 кг, размер 42 заказала М, сели идеально.",одежда
"Колготки пришли быстро, за 2 недели. Качество хорошее, но цвет не тот, что на фото. На фото он более насыщенный, а пришли бледные. На рост 164, вес 60 кг, размер 42 заказала М, сели идеально.",одежда
"Носки пришли быстро, за 2 недели. Качество хорошее, но цвет не тот, что на фото. На фото он более насыщенный, а пришли бледные. На рост 164, вес 60 кг, размер 42 заказала М, сели идеально.",одежда
"Термобелье пришло быстро, за 2 недели. Качество хорошее, но цвет не тот, что на фото. На фото он более насыщенный, а пришел бледный. На рост 164, вес 60 кг, размер 42 заказала М, село идеально.",одежда
"Боди пришло быстро, за 2 недели. Качество хорошее, но цвет не тот, что на фото. На фото он более насыщенный, а пришел бледный. На рост 164, вес 60 кг, размер 42 заказала М, село идеально.",одежда
"Комбинезон пришел быстро, за 2 недели. Качество хорошее, но цвет не тот, что на фото. На фото он более насыщенный, а пришел бледный. На рост 164, вес 60 кг, размер 42 заказала М, сел идеально.",одежда
"Плавки пришли быстро, за 2 недели. Качество хорошее, но цвет не тот, что на фото. На фото он более насыщенный, а пришли бледные. На рост 164, вес 60 кг, размер 42 заказала М, сели идеально.",одежда
"Купальник пришел быстро, за 2 недели. Качество хорошее, но цвет не тот, что на фото. На фото он более насыщенный, а пришел бледный. На рост 164, вес 60 кг, размер 42 заказала М, сел идеально.",одежда
"Бюстгальтер пришел быстро, за 2 недели. Качество хорошее, но цвет не тот, что на фото. На фото он более насыщенный, а пришел бледный. На рост 164, вес 60 кг, размер 42 заказала М, сел идеально.",одежда
"Трусы пришли быстро, за 2 недели. Качество хорошее, но цвет не тот, что на фото. На фото он более насыщенный, а пришли бледные. На рост 164, вес 60 кг, размер 42 заказала М, сели идеально.",одежда
"Пижама пришла быстро, за 2 недели. Качество хорошее, но цвет не тот, что на фото. На фото он более насыщенный, а пришел бледный. На рост 164, вес 60 кг, размер 42 заказала М, села идеально.",одежда
"Халат пришел быстро, за 2 недели. Качество хорошее, но цвет не тот, что на фото. На фото он более насыщенный, а пришел бледный. На рост 164, вес 60 кг, размер 42 заказала М, сел идеально.",одежда
"Ночная сорочка пришла быстро, за 2 недели. Качество хорошее, но цвет не тот, что на фото. На фото он более насыщенный, а пришел бледный. На рост 164, вес 60 кг, размер 42 заказала М, села идеально.",одежда
"Капри пришли быстро, за 2 недели. Качество хорошее, но цвет не тот, что на фото. На фото он более насыщенный, а пришли бледные. На рост 164, вес 60 кг, размер 42 заказала М, сели идеально.",одежда
"Бриджи пришли быстро, за 2 недели. Качество хорошее, но цвет не тот, что на фото. На фото он более насыщенный, а пришли бледные. На рост 164, вес 60 кг, размер 42 заказала М, сели идеально.",одежда
"Лосины пришли быстро, за 2 недели. Качество хорошее, но цвет не тот, что на фото. На фото он более насыщенный, а пришли бледные. На рост 164, вес 60 кг, размер 42 заказала М, сели идеально.",одежда
"Велосипедки пришли быстро, за 2 недели. Качество хорошее, но цвет не тот, что на фото. На фото он более насыщенный, а пришли бледные. На рост 164, вес 60 кг, размер 42 заказала М, сели идеально.",одежда
"Спортивные штаны пришли быстро, за 2 недели. Качество хорошее, но цвет не тот, что на фото. На фото он более насыщенный, а пришли бледные. На рост 164, вес 60 кг, размер 42 заказала М, сели идеально.",одежда
